neighborhood,district,culturalType,#culturalPlaces
La Maternitat i Sant Ramon,Les Corts,Tennis taula,1
La Maternitat i Sant Ramon,Les Corts,Instal·lacions esportives,1
La Maternitat i Sant Ramon,Les Corts,Discoteques,3
La Maternitat i Sant Ramon,Les Corts,Cocteleries,1
La Maternitat i Sant Ramon,Les Corts,Xampanyeries,1
La Maternitat i Sant Ramon,Les Corts,Cinemes,1
La Maternitat i Sant Ramon,Les Corts,Casals i espais per a joves,1
La Maternitat i Sant Ramon,Les Corts,Auditoris,3
La Maternitat i Sant Ramon,Les Corts,Biblioteques municipals,1
Les Tres Torres,Sarrià-Sant Gervasi,Àrees de jocs infantils,5
Les Tres Torres,Sarrià-Sant Gervasi,Biblioteques,1
Les Tres Torres,Sarrià-Sant Gervasi,Biblioteques municipals,1
Les Tres Torres,Sarrià-Sant Gervasi,Sales d'estudi,1
Les Tres Torres,Sarrià-Sant Gervasi,Cinemes,1
Les Tres Torres,Sarrià-Sant Gervasi,Parcs i jardins,3
Les Tres Torres,Sarrià-Sant Gervasi,Casals d'avis,1
Les Tres Torres,Sarrià-Sant Gervasi,Teatres,1
Pedralbes,Les Corts,Àrees de jocs infantils,15
Pedralbes,Les Corts,Biblioteques,7
Pedralbes,Les Corts,Parcs i jardins,9
Pedralbes,Les Corts,Sales d'estudi,4
Pedralbes,Les Corts,Museus,1
Pedralbes,Les Corts,Museus municipals,1
Pedralbes,Les Corts,Discoteques,1
El Turó de la Peira,Nou Barris,Àrees de jocs infantils,6
El Turó de la Peira,Nou Barris,Casals i espais per a joves,1
El Turó de la Peira,Nou Barris,WiFi BCN,3
El Turó de la Peira,Nou Barris,Parcs i jardins,2
El Turó de la Peira,Nou Barris,Centres cívics,1
El Turó de la Peira,Nou Barris,Casals infantils,1
El Turó de la Peira,Nou Barris,Casals d'avis,1
La Sagrera,Sant Andreu,Casals d'avis,2
La Sagrera,Sant Andreu,WiFi BCN,4
La Sagrera,Sant Andreu,Àrees de jocs infantils,11
La Sagrera,Sant Andreu,Biblioteques,1
La Sagrera,Sant Andreu,Biblioteques municipals,1
La Sagrera,Sant Andreu,Sales d'estudi,1
La Sagrera,Sant Andreu,Teatres,1
La Sagrera,Sant Andreu,Casals i espais per a joves,1
La Sagrera,Sant Andreu,Parcs i jardins,2
La Sagrera,Sant Andreu,Casals de barri,1
La Sagrera,Sant Andreu,Centres cívics,1
La Marina del Prat Vermell,Sants-Montjuïc,Parcs i jardins,1
La Marina del Prat Vermell,Sants-Montjuïc,Àrees de jocs infantils,2
La Marina del Prat Vermell,Sants-Montjuïc,Museus,1
La Marina del Prat Vermell,Sants-Montjuïc,Biblioteques,1
"""Horta, Barcelona""",Horta-Guinardó,Bars i pubs musicals,3
"""Horta, Barcelona""",Horta-Guinardó,Biblioteques,2
"""Horta, Barcelona""",Horta-Guinardó,Biblioteques municipals,2
"""Horta, Barcelona""",Horta-Guinardó,Parcs i jardins,3
"""Horta, Barcelona""",Horta-Guinardó,Museus,2
"""Horta, Barcelona""",Horta-Guinardó,Àrees de jocs infantils,11
"""Horta, Barcelona""",Horta-Guinardó,Casals d'avis,2
"""Horta, Barcelona""",Horta-Guinardó,WiFi BCN,2
"""Horta, Barcelona""",Horta-Guinardó,Teatres,3
"""Horta, Barcelona""",Horta-Guinardó,Centres cívics,1
"""Horta, Barcelona""",Horta-Guinardó,Bancs del Temps,1
"""Horta, Barcelona""",Horta-Guinardó,Discoteques,1
"""Horta, Barcelona""",Horta-Guinardó,Sales d'estudi,1
Navas,Sant Andreu,Cocteleries,1
Navas,Sant Andreu,Xampanyeries,1
Navas,Sant Andreu,Restaurants,1
Navas,Sant Andreu,Àrees de jocs infantils,6
Navas,Sant Andreu,Discoteques,1
Navas,Sant Andreu,Centres cívics,1
Navas,Sant Andreu,WiFi BCN,2
Navas,Sant Andreu,Casals i espais per a joves,1
Navas,Sant Andreu,Casals d'avis,1
La Prosperitat,Nou Barris,Àrees de jocs infantils,7
La Prosperitat,Nou Barris,Casals d'avis,2
La Prosperitat,Nou Barris,Casals de barri,1
La Prosperitat,Nou Barris,WiFi BCN,1
La Prosperitat,Nou Barris,Parcs i jardins,1
La Prosperitat,Nou Barris,Bancs del Temps,1
La Prosperitat,Nou Barris,Casals i espais per a joves,1
Provençals del Poblenou,Sant Martí,Àrees de jocs infantils,27
Provençals del Poblenou,Sant Martí,Museus,1
Provençals del Poblenou,Sant Martí,Museus municipals,1
Provençals del Poblenou,Sant Martí,Parcs i jardins,2
Provençals del Poblenou,Sant Martí,Casals i espais per a joves,1
Provençals del Poblenou,Sant Martí,Casals de barri,1
Provençals del Poblenou,Sant Martí,Casals d'avis,1
Provençals del Poblenou,Sant Martí,Altres esports,1
Provençals del Poblenou,Sant Martí,Instal·lacions esportives,1
